Tank,Treatment,Chamber,Plug,Starting Larvae,Day,Total,Aggregate,Individual,Notes
Tank1,Ambient,A08,334,100,5,5,4,1,"not in the best shape, looks like they're dying "
Tank1,Ambient,A08,591,100,5,4,3,1,top
Tank1,Ambient,A08,1180,100,5,NA,NA,2,unidentifieable agg. on top 
Tank2,Ambient,A09,520A,100,3,4,2,2,top
Tank2,Ambient,A09,524A,100,3,0,0,0,
Tank2,Ambient,A09,1158,100,3,0,0,0,
Tank2,Ambient,A10,609,100,3,3,0,3,"top, 1 loose larvae"
Tank2,Ambient,A10,638,100,3,4,0,3,"3 top, 1 under top"
Tank2,Ambient,A10,1087,100,3,0,0,0,
Tank2,Ambient,A11,307,100,3,2,0,2,top
Tank2,Ambient,A11,883,100,3,0,0,0,
Tank2,Ambient,A11,1119,100,3,2,0,2,top
Tank2,Ambient,A12,490,100,3,0,0,0,
Tank2,Ambient,A12,669,100,3,5,0,5,top
Tank2,Ambient,A12,810,100,3,4,2,2,top
Tank2,Ambient,A13,459,100,5,1,0,1,side
Tank2,Ambient,A13,868,100,5,16,8,8,top
Tank2,Ambient,A13,1062,100,5,0,0,0,
Tank2,Ambient,A14,629,100,5,14,4,10,top
Tank2,Ambient,A14,817,100,5,10,0,10,"1 bottom, 3 side, 6 top"
Tank2,Ambient,A14,1140,100,5,4,0,4,"2 top, 2 under side of top"
Tank2,Ambient,A15,325,100,5,8,4,4,top
Tank2,Ambient,A15,631,100,5,1,0,1,"top, 1 unsettled "
Tank2,Ambient,A15,1065,100,5,25,18,7,top
Tank2,Ambient,A16,538,100,5,21,2,19,top
Tank2,Ambient,A16,794,100,5,1,0,1,"top, dead larvae present"
Tank2,Ambient,A16,824,100,5,4,2,2,top
Tank3,Ambient,A17,439,100,3,3,0,3,top
Tank3,Ambient,A17,860,100,3,0,0,0,
Tank3,Ambient,A17,885,100,3,2,0,2,top
Tank3,Ambient,A18,434,100,3,0,0,0,
Tank3,Ambient,A18,503,100,3,1,0,1,top
Tank3,Ambient,A18,630,100,3,12,4,8,top
Tank3,Ambient,A19,506,100,3,13,2,11,"top, 1 bleached"
Tank3,Ambient,A19,516A,100,3,1,0,1,top
Tank3,Ambient,A19,563,100,3,1,0,1,top
Tank3,Ambient,A20,512B,100,3,1,0,1,top
Tank3,Ambient,A20,552A,100,3,2,0,2,"side, 1 larvae"
Tank3,Ambient,A20,880,100,3,1,0,1,1 larvae
