Plot Title: Cold_L6_10779060,,,,,,
#,"Date Time, GMT-10:00","Temp, °C (LGR S/N: 10779060, SEN S/N: 10779060)",Coupler Detached (LGR S/N: 10779060),Coupler Attached (LGR S/N: 10779060),Host Connected (LGR S/N: 10779060),End Of File (LGR S/N: 10779060)
559,7/2/19 10:45,24.726,,,,
560,7/2/19 11:00,24.895,,,,
561,7/2/19 11:15,25.065,,,,
562,7/2/19 11:30,25.21,,,,
563,7/2/19 11:45,25.72,,,,
564,7/2/19 12:00,25.817,,,,
565,7/2/19 12:15,25.793,,,,
566,7/2/19 12:30,25.768,,,,
567,7/2/19 12:45,26.036,,,,
568,7/2/19 13:00,26.109,,,,
569,7/2/19 13:15,25.987,,,,
570,7/2/19 13:30,25.866,,,,
571,7/2/19 13:45,25.89,,,,
572,7/2/19 14:00,25.89,,,,
573,7/2/19 14:15,26.72,,,,
574,7/2/19 14:30,26.891,,,,
575,7/2/19 14:45,26.891,,,,
576,7/2/19 15:00,26.769,,,,
577,7/2/19 15:15,26.671,,,,
578,7/2/19 15:30,26.72,,,,
579,7/2/19 15:45,26.671,,,,
580,7/2/19 16:00,26.549,,,,
581,7/2/19 16:15,26.182,,,,
582,7/2/19 16:30,25.963,,,,
583,7/2/19 16:45,25.817,,,,
584,7/2/19 17:00,25.647,,,,
585,7/2/19 17:15,25.404,,,,
586,7/2/19 17:30,25.186,,,,
587,7/2/19 17:45,24.895,,,,
588,7/2/19 18:00,24.653,,,,
589,7/2/19 18:15,24.363,,,,
590,7/2/19 18:30,24.146,,,,
591,7/2/19 18:45,23.954,,,,
592,7/2/19 19:00,23.737,,,,
593,7/2/19 19:15,23.593,,,,
594,7/2/19 19:30,23.545,,,,
595,7/2/19 19:45,23.593,,,,
596,7/2/19 20:00,23.448,,,,
597,7/2/19 20:15,23.857,,,,
598,7/2/19 20:30,23.545,,,,
599,7/2/19 20:45,23.4,,,,
600,7/2/19 21:00,23.376,,,,
601,7/2/19 21:15,23.208,,,,
602,7/2/19 21:30,23.184,,,,
603,7/2/19 21:45,23.256,,,,
604,7/2/19 22:00,23.256,,,,
605,7/2/19 22:15,23.352,,,,
606,7/2/19 22:30,23.208,,,,
607,7/2/19 22:45,23.136,,,,
608,7/2/19 23:00,23.16,,,,
609,7/2/19 23:15,23.256,,,,
610,7/2/19 23:30,23.256,,,,
611,7/2/19 23:45,23.184,,,,
612,7/3/19 00:00,23.184,,,,
613,7/3/19 00:15,23.184,,,,
614,7/3/19 00:30,23.16,,,,
615,7/3/19 00:45,23.136,,,,
616,7/3/19 01:00,23.088,,,,
617,7/3/19 01:15,23.088,,,,
618,7/3/19 01:30,23.064,,,,
619,7/3/19 01:45,23.016,,,,
620,7/3/19 02:00,23.016,,,,
621,7/3/19 02:15,23.064,,,,
622,7/3/19 02:30,23.064,,,,
623,7/3/19 02:45,23.016,,,,
624,7/3/19 03:00,23.064,,,,
625,7/3/19 03:15,23.016,,,,
626,7/3/19 03:30,23.04,,,,
627,7/3/19 03:45,22.968,,,,
628,7/3/19 04:00,22.992,,,,
629,7/3/19 04:15,22.92,,,,
630,7/3/19 04:30,22.896,,,,
631,7/3/19 04:45,22.872,,,,
632,7/3/19 05:00,22.872,,,,
633,7/3/19 05:15,22.848,,,,
634,7/3/19 05:30,22.824,,,,
635,7/3/19 05:45,22.848,,,,
636,7/3/19 06:00,22.992,,,,
637,7/3/19 06:15,23.16,,,,
638,7/3/19 06:30,23.304,,,,
639,7/3/19 06:45,23.184,,,,
640,7/3/19 07:00,23.064,,,,
641,7/3/19 07:15,23.04,,,,
642,7/3/19 07:30,23.064,,,,
643,7/3/19 07:45,23.16,,,,
644,7/3/19 08:00,23.328,,,,
645,7/3/19 08:15,23.545,,,,
646,7/3/19 08:30,23.545,,,,
647,7/3/19 08:45,23.448,,,,
648,7/3/19 09:00,23.617,,,,
649,7/3/19 09:15,23.785,,,,
650,7/3/19 09:30,23.857,,,,
651,7/3/19 09:45,24.026,,,,
652,7/3/19 10:00,24.243,,,,
653,7/3/19 10:15,24.436,,,,
654,7/3/19 10:30,24.653,,,,
655,7/3/19 10:45,24.798,,,,
656,7/3/19 11:00,24.944,,,,
657,7/3/19 11:15,25.21,,,,
658,7/3/19 11:30,25.307,,,,
659,7/3/19 11:45,25.453,,,,
660,7/3/19 12:00,25.647,,,,
661,7/3/19 12:15,25.793,,,,
662,7/3/19 12:30,26.036,,,,
